ID;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;subject
1;GP;F;15;U;LE3;A;3;3;other;other;other;mother;1;1;0;no;no;yes;no;yes;yes;yes;no;5;3;4;4;4;1;6;10;13;13;math
2;GP;M;16;U;GT3;T;0;2;other;other;other;mother;1;1;0;no;no;no;no;no;yes;yes;no;4;3;2;2;4;5;0;11;12;11;port
3;GP;M;17;U;GT3;T;3;3;services;services;other;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;4;2;3;4;12;12;12;11;math
4;GP;M;15;U;LE3;T;4;2;teacher;other;course;mother;1;1;0;no;no;no;no;yes;yes;yes;no;3;5;2;1;1;3;10;18;17;18;port
5;GP;M;18;U;LE3;T;2;2;other;other;course;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;5;5;2;4;5;2;9;8;8;math
6;GP;M;16;U;GT3;T;2;1;other;other;course;mother;3;1;0;no;no;no;no;yes;yes;yes;no;4;3;3;1;1;4;7;15;16;16;port
7;GP;F;19;U;GT3;T;3;3;other;other;reputation;other;1;4;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;2;3;10;8;8;8;math
8;MS;M;17;R;GT3;T;1;1;other;services;other;father;3;1;0;no;no;no;no;no;no;no;no;4;2;3;3;4;4;4;12;13;14;port
9;GP;F;17;U;GT3;T;3;2;other;other;course;mother;1;2;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;3;3;10;16;15;15;math
10;GP;M;15;U;LE3;T;2;2;services;services;home;mother;2;2;0;no;no;yes;yes;yes;yes;yes;no;5;3;3;1;3;4;4;15;15;15;math
11;GP;M;18;U;GT3;T;2;1;services;services;other;mother;1;1;2;no;no;no;no;no;no;yes;no;3;2;5;2;5;5;4;7;8;6;port
12;MS;M;16;R;LE3;T;4;1;other;at_home;other;father;1;1;0;no;no;no;no;yes;yes;yes;no;4;1;2;2;1;2;0;10;11;11;port
13;MS;M;15;R;LE3;T;4;1;health;services;reputation;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;4;1;2;2;0;12;13;14;port
14;GP;F;17;U;LE3;T;3;2;other;other;reputation;mother;2;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;3;1;2;14;16;15;port
15;GP;M;18;U;LE3;T;3;4;services;other;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;4;3;3;1;3;5;11;16;15;15;math
16;GP;M;15;U;GT3;T;4;4;other;teacher;reputation;father;2;2;0;no;yes;no;yes;yes;yes;no;no;4;4;3;1;1;2;2;11;13;14;math
17;GP;M;17;U;GT3;T;4;3;other;other;course;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;yes;5;2;3;1;1;2;4;11;11;13;port
18;GP;M;17;R;LE3;T;2;1;at_home;other;course;mother;2;1;2;no;no;no;yes;yes;no;yes;yes;3;3;2;2;2;5;0;7;6;0;math
19;GP;M;18;U;GT3;T;2;1;services;services;other;mother;1;1;1;no;no;no;no;no;no;yes;no;3;2;5;2;5;5;4;6;9;8;math
20;GP;F;18;U;LE3;T;2;2;at_home;services;course;mother;1;2;1;no;yes;no;no;no;yes;yes;yes;5;3;1;1;1;5;16;9;8;10;port
21;GP;F;16;U;GT3;A;3;1;services;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;3;3;2;2;4;2;11;11;12;port
22;GP;F;18;U;GT3;T;4;3;other;other;reputation;father;1;4;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3;0;14;13;14;math
23;GP;F;17;R;GT3;T;2;1;at_home;services;course;mother;3;2;0;no;no;no;yes;yes;yes;no;no;2;1;1;1;1;3;2;13;11;11;math
24;MS;F;17;R;GT3;T;2;2;other;other;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;no;no;5;3;2;1;1;1;0;15;17;17;port
25;MS;F;18;R;GT3;T;4;4;teacher;at_home;reputation;mother;3;1;0;no;yes;no;yes;yes;yes;yes;yes;4;4;3;2;2;5;4;7;9;10;port
26;GP;F;16;U;GT3;T;2;3;other;other;reputation;mother;1;2;0;yes;yes;no;yes;yes;yes;no;no;4;4;3;1;3;4;4;11;12;12;port
27;MS;M;18;U;LE3;T;1;2;at_home;services;home;mother;2;1;0;no;yes;no;no;no;yes;no;no;4;1;4;5;5;1;8;10;11;11;port
28;GP;F;17;U;GT3;T;3;3;at_home;other;course;mother;1;1;0;no;yes;yes;yes;yes;yes;yes;no;4;2;5;2;5;5;2;11;12;11;port
29;MS;M;18;U;LE3;T;1;3;at_home;services;course;mother;1;1;0;no;no;no;no;yes;no;yes;yes;4;3;3;2;3;3;0;9;10;9;port
30;GP;M;16;U;GT3;T;4;4;health;other;course;mother;1;1;0;no;yes;no;yes;yes;yes;yes;no;3;4;4;1;4;5;18;14;11;13;math
